userId,title,rating
1,Avatar,4
1,Spectre,4
1,Spider-Man 3,4
1,X-Men: Days of Future Past,5
1,The Great Gatsby,5
1,Hugo,3
1,The Curious Case of Benjamin Button,5
1,The Chronicles of Narnia: The Voyage of the Dawn Treader,4
1,Men in Black II,5
1,The Last Samurai,5
1,Stealth,5
1,Fantastic 4: Rise of the Silver Surfer,5
1,Elysium,3
1,Star Wars: Episode II - Attack of the Clones,5
1,The Croods,4
1,Speed 2: Cruise Control,5
1,The Tourist,3
1,The Mummy Returns,3
1,Lara Croft: Tomb Raider,5
1,Ice Age: Dawn of the Dinosaurs,4
1,Die Hard: With a Vengeance,4
1,You Don't Mess with the Zohan,5
1,Hollow Man,4
1,The 6th Day,3
1,Four Christmases,4
1,Fury,5
1,Walking With Dinosaurs,4
1,Jack and Jill,3
1,Dreamgirls,5
1,Carriers,4
1,Fool's Gold,4
1,Funny People,5
1,Dracula Untold,4
1,Stardust,4
1,Seven Years in Tibet,4
1,Doom,5
1,Sky Captain and the World of Tomorrow,5
1,World Trade Center,3
1,Proof of Life,5
1,Perfume: The Story of a Murderer,3
1,Paycheck,4
1,The Tuxedo,3
1,Dark Water,3
1,DragonHeart,4
1,Inside Man,5
1,Knowing,5
1,I Am Number Four,5
1,The Book of Life,4
1,Gremlins 2: The New Batch,5
1,Chappie,3
1,The Cable Guy,5
1,Earth,5
1,Dick Tracy,5
1,Solaris,5
1,Happily N'Ever After,3
1,Mary Reilly,5
1,My Best Friend's Wedding,5
1,Taken 2,4
1,The Bucket List,5
1,Anaconda,4
1,Last Holiday,5
1,Dune,5
1,The Producers,5
1,The Phantom,4
1,Nixon,5
1,Bangkok Dangerous,5
1,Here Comes the Boom,4
1,Lord of War,5
1,Unknown,5
1,The Prestige,5
1,Horrible Bosses 2,5
1,The Skeleton Key,5
1,Made of Honor,4
1,The Rainmaker,5
1,Medicine Man,5
1,Aliens vs Predator: Requiem,4
1,The Guilt Trip,2
1,Scream 4,5
1,The Doors,5
1,Hanging Up,5
1,Mickey Blue Eyes,5
1,The Musketeer,5
1,The Impossible,5
1,Fantastic Mr. Fox,3
1,The Deep End of the Ocean,4
1,Raise the Titanic,5
1,Just Visiting,5
1,Delgo,5
1,Hackers,5
1,Baahubali: The Beginning,5
1,Grudge Match,5
1,A Man Apart,4
1,In & Out,3
1,Resident Evil,3
1,House of Wax,3
1,The Young Victoria,3
1,The Longest Ride,4
1,Bridesmaids,4
1,Bringing Out the Dead,5
1,The Princess Diaries,4
1,Forgetting Sarah Marshall,5
1,Midnight in Paris,3
1,A View to a Kill,5
1,What's the Worst That Could Happen?,5
1,The Prince & Me,4
1,One True Thing,5
1,Howard the Duck,3
1,Machine Gun Preacher,3
1,Just My Luck,5
1,The Magic Flute,4
1,Pain & Gain,4
1,Blood and Wine,5
1,Snow White: A Tale of Terror,4
1,Fly Me to the Moon,4
1,The Possession,5
1,Ironclad,5
1,Old School,4
1,The Adventurer: The Curse of the Midas Box,4
1,Marvin's Room,5
1,Cheri,4
1,Ghost,5
1,I Am Sam,4
1,Shadowlands,5
1,I Heart Huckabees,4
1,Megiddo: The Omega Code 2,5
1,Joyeux Noël,4
1,Sorcerer,5
1,Away We Go,5
1,Beverly Hills Cop II,5
1,Wayne's World,3
1,Jackass 3D,5
1,Beverly Hills Chihuahua,4
1,Tammy,4
1,The Last Song,4
1,Return to Never Land,5
1,Selma,5
1,Team America: World Police,5
1,Copycat,5
1,Paint Your Wagon,5
1,Risen,4
1,Stay Alive,5
1,Georgia Rule,4
1,The Greatest Story Ever Told,4
1,Marci X,2
1,Regression,4
1,Dwegons,4
1,Just Married,5
1,Amadeus,5
1,Honey,2
1,Catch That Kid,5
1,Nine 1/2 Weeks,4
1,One Man's Hero,5
1,I Am Wrath,2
1,Wolves,5
1,I Know What You Did Last Summer,4
1,Saw: The Final Chapter,3
1,Larry the Cable Guy: Health Inspector,5
1,Sense and Sensibility,4
1,Varsity Blues,5
1,Joe Dirt,5
1,Jennifer's Body,4
1,Things We Lost in the Fire,4
1,Hachi: A Dog's Tale,5
1,National Lampoon's Vacation,3
1,Bad Grandpa,5
1,The Faculty,5
1,Ramona and Beezus,5
1,Keanu,5
1,Whip It,5
1,Hoot,4
1,In Bruges,2
1,Mulholland Drive,4
1,District B13,4
1,Things to Do in Denver When You're Dead,5
1,The Return,4
1,The Midnight Meat Train,4
1,Khumba,5
1,Chiamatemi Francesco - Il Papa della gente,3
1,Tea with Mussolini,5
1,Fun Size,5
1,Stan Helsing,5
1,Room,5
1,The Prisoner of Zenda,4
1,Yentl,4
1,Rachel Getting Married,5
1,Running with Scissors,5
1,Legend of a Rabbit,5
1,High School Musical 3: Senior Year,4
1,Army of Darkness,5
1,The Visual Bible: The Gospel of John,5
1,Vera Drake,5
1,The Guru,5
1,Machine Gun McCain,5
1,The Color of Money,4
1,The Mighty Ducks,5
1,Bill & Ted's Excellent Adventure,5
1,The Best Exotic Marigold Hotel,5
1,The Boy,4
1,The Corruptor,5
1,Mud,5
1,Dirty Pretty Things,5
1,Movie 43,5
1,Deuces Wild,4
1,Re-Kill,5
1,Sicko,4
1,Breakin' All the Rules,1
1,Brown Sugar,3
1,That Awkward Moment,3
1,Drive Me Crazy,5
1,8 Women,5
1,The Visitors,5
1,The Terminator,4
1,"Good bye, Lenin!",4
1,The Damned United,5
1,Mary Poppins,5
1,West Side Story,5
1,The Virgin Suicides,4
1,The Business of Strangers,4
1,Chariots of Fire,4
1,House Party 2,5
1,The Forsaken,4
1,Party Monster,4
1,Yoga Hosers,5
1,Tango,5
1,Salvador,5
1,Cargo,5
1,Monster's Ball,4
1,The Front Page,4
1,Mondays in the Sun,5
1,The Perfect Wave,4
1,"Fat, Sick & Nearly Dead",4
1,Speed 2: Cruise Control,5
2,The Flowers of War,3
2,Lara Croft: Tomb Raider,4
2,Role Models,4.5
2,House Party 2,4
2,For Colored Girls,4
2,Ida,3.5
2,Love Stinks,4
2,50 First Dates,4
2,Out of Time,4.5
2,Red Dog,5
2,Resident Evil: Apocalypse,4.5
2,Taxi Driver,3
2,Road Trip,4
2,Blade: Trinity,3
2,Under the Tuscan Sun,4
2,All Hat,4.5
2,The Diary of a Teenage Girl,5
2,Supporting Characters,4
2,Veer-Zaara,5
2,Finding Nemo,3.5
2,Six Days Seven Nights,2.5
2,Elsa & Fred,3.5
2,JFK,5
2,The Original Kings of Comedy,3
2,The Bank Job,4
2,Farce of the Penguins,2
2,Wanted,3.5
